city,lat,lng,COUNTRY,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,Time (Input 5),QCI (Input 6),Packet Loss Rate (Reliability),Packet Delay Budget (Latency)
Dublin,53.35,-6.2603,Ireland,-84.27411319,1.863890037,129.122914,3G,1,1,0.000001,<10ms
Dublin,53.34093908,-6.264043213,Ireland,-87.04613368,1.176985004,119.5982862,LTE,1,3,0.000001,<10ms
Dublin,53.34486819,-6.265420345,Ireland,-94.56476466,38.2920383,30.34282765,5G,1,65,0.000001,<10ms
Dublin,53.35736827,-6.259885197,Ireland,-85.65309191,4.03660851,99.88702425,4G,1,5,0.000001,<10ms
Dublin,53.35721779,-6.259364167,Ireland,-96.84211831,2.9925074,196.5419351,LTE,1,7,0.000001,<10ms
Dublin,53.34262343,-6.264805433,Ireland,-90.30840684,9.244325886,81.5569313,4G,1,9,0.000001,<10ms
Dublin,53.34454131,-6.268156823,Ireland,-88.78220352,9.392683868,75.56711994,4G,1,70,0.000001,<10ms
Dublin,53.35278809,-6.269213767,Ireland,-79.65612677,1.116387191,191.5213728,3G,2,2,0.000001,<10ms
Dublin,53.35480883,-6.26924804,Ireland,-85.60737258,2.171551163,194.0230241,3G,2,4,0.000001,<10ms
Dublin,53.3424018,-6.264679945,Ireland,-103.9383581,79.87716647,23.63214161,5G,2,66,0.000001,<10ms
Dublin,53.34185508,-6.265220917,Ireland,-89.02013372,3.509341045,91.09300296,4G,2,6,0.000001,<10ms
Finglas,53.4597,-6.2181,Ireland,-89.10363007,1.147593129,155.3854284,LTE,2,8,0.000001,<10ms
Finglas,53.45189607,-6.213204424,Ireland,-83.97815425,1.75347794,174.95783,3G,2,69,0.000001,<10ms
Finglas,53.46242225,-6.213036156,Ireland,-89.10363007,32.26132916,28.02176541,5G,2,70,0.000001,<10ms
Finglas,53.45511998,-6.217332487,Ireland,-89.9496304,12.59044087,40.20549023,5G,3,1,0.000001,<10ms
Finglas,53.46834835,-6.213262588,Ireland,-83.97815425,1.984232586,125.8244388,3G,3,2,0.000001,<10ms
Finglas,53.45325138,-6.224089653,Ireland,-95.06888978,1.081737233,116.8935063,LTE,3,3,0.000001,<10ms
Finglas,53.46445064,-6.219341544,Ireland,-100.1019162,2.194556165,198.6256996,3G,3,4,0.000001,<10ms
Finglas,53.45496465,-6.215587843,Ireland,-85.80728331,26.40554906,32.55860368,5G,3,65,0.000001,<10ms
Finglas,53.46400172,-6.215362567,Ireland,-91.78673388,4.710472088,74.91238489,4G,3,66,0.000001,<10ms
Finglas,53.45780124,-6.213538727,Ireland,-86.42701404,2.641722946,171.8457271,LTE,3,5,0.000001,<10ms
Finglas,53.45855246,-6.223934976,Ireland,-93.53166988,1.403460925,168.4571548,LTE,3,6,0.000001,<10ms
Cork,51.8972,-8.47,Ireland,-91.95507929,2.50100385,179.9537131,LTE,3,7,0.000001,<10ms
Cork,51.89972965,-8.47546584,Ireland,-82.81934177,1.458050782,154.2849311,LTE,3,8,0.000001,<10ms
Cork,51.89378404,-8.47311948,Ireland,-90.29803059,1.757643131,145.7000219,3G,3,9,0.000001,<10ms
Cork,51.89218559,-8.469993942,Ireland,-87.68278625,4.591456881,71.17984312,4G,3,69,0.01,<10ms
Cork,51.9012345,-8.4692831,Ireland,-88.01083289,9.893888393,91.94490432,4G,3,70,0.01,<10ms
Cork,51.89548589,-8.468751955,Ireland,-84.73889432,9.429183075,79.35341121,4G,4,1,0.01,<10ms
Cork,51.90647637,-8.463426791,Ireland,-93.78936552,1.794636231,142.6788905,3G,4,2,0.01,<10ms
Cork,51.89629499,-8.463252841,Ireland,-93.95841928,1.544603709,189.743041,LTE,4,3,0.01,<10ms
Cork,51.89932173,-8.472950037,Ireland,-90.50314768,2.613700298,196.2649319,LTE,4,4,0.01,<10ms
Cork,51.90004698,-8.460821478,Ireland,-88.18077482,2.661309013,134.5192145,LTE,4,65,0.01,<10ms
Cork,51.89123531,-8.464861008,Ireland,-94.47178063,2.645167752,152.9661679,LTE,4,66,0.01,<10ms
Galway,53.2719,-9.0489,Ireland,-89.94799797,6.632423937,52.34829834,4G,4,5,0.01,<10ms
Galway,53.2736344,-9.052582653,Ireland,-89.75372552,95.97126815,16.18688564,5G,4,6,0.01,<10ms
Galway,53.26259269,-9.040852665,Ireland,-85.58789893,2.580027118,169.0560232,3G,4,7,0.01,<10ms
Galway,53.27820543,-9.049023766,Ireland,-85.3942985,99.94181496,32.23226326,5G,4,8,0.01,<10ms
Galway,53.27348585,-9.039820902,Ireland,-93.82000122,9.194988496,76.51325663,4G,4,9,0.01,<10ms
Galway,53.27606678,-9.058887459,Ireland,-84.30197093,4.901808797,69.9143692,4G,4,69,0.01,<10ms
Galway,53.28173304,-9.053977919,Ireland,-94.48261117,8.585925255,62.94913258,4G,4,70,0.01,<10ms
Galway,53.27448919,-9.047932067,Ireland,-92.13762674,2.93820526,188.3785885,LTE,5,1,0.01,<10ms
Galway,53.27885917,-9.051852575,Ireland,-79.60918143,2.704387067,103.5422368,3G,5,2,0.01,<10ms
Galway,53.2735298,-9.049504256,Ireland,-92.60148378,2.142637884,166.211201,LTE,5,3,0.01,<10ms
Galway,53.27297563,-9.048465559,Ireland,-91.98387619,84.32350755,15.1547947,5G,5,4,0.01,<10ms
Tallaght,53.2886,-6.3572,Ireland,-85.50434469,40.76849494,35.30487573,5G,5,65,0.01,<10ms
Tallaght,53.2792764,-6.352679119,Ireland,-86.37002093,1.044247103,132.3610219,3G,5,66,0.01,<10ms
Tallaght,53.29253454,-6.353941009,Ireland,-94.82052725,38.86684664,38.9769069,5G,5,5,0.01,<10ms
